Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Offers IT recruiting, staffing and business tax consulting in 28 states and 9 countries.",In,Out,Human Resources,X-Lax,2014,3794812.92,511.00%,6340279.51
"Operates an online platform that rewards consumers for their online activities with virtual currency that they can redeem for real life rewards, goods and services.",Out,Out,Advertising & Marketing,Dento-Fix,2010,6812829.23,333.00%,7075543.55
"Provides commercial drywall, stucco, insulation, acoustical ceilings, barricades, and millwork installation services.",Out,Out,Construction,Gogofan,2011,5608634.53,372.00%,7826432.68
"A mobile software developer that builds apps for iPhone, iPad, and Android.",Out,Out,Software,Sub-Fan,2014,4916736.72,331.00%,7178217.49
Manufactures and distributes retro-inspired teardrop campers sold through about 70 RV dealerships across the U.S. and Canada.,In,Out,Consumer Products & Services,Scotzone,2011,3735555.51,349.00%,10784955.02
"Provides 24/7 access to nonemergency medical care via phone, secure online video, mobile app, or the company's HealthSpot stations.",In,Out,Health,Mediagreen,2013,758416.2,550.00%,7480998.43
A social analytics agency that conducts linguistic analysis of social media discussion and applies digital marketing expertise.,Out,Out,Advertising & Marketing,Zottex,2011,6461790.44,242.00%,9237032.11
Sells new and used vehicles from dealerships across West Texas.,In,Out,Retail,Xx-Com,2013,2163835.56,521.00%,13533082.98
An online color cosmetics company that provides high-quality makeup worldwide.,Out,Out,Retail,Toughcare,2009,5796074.86,400.00%,10429628.75
"Develops and markets inflatable satellite communication antennas and systems that can be quickly deployed for high-bandwidth communications in remote, hard-to-reach areas. Its communications terminals have been used by US and allied military, intelligence and homeland security organizations.",Out,Out,Telecommunications,Sailbam,2011,5224238.81,320.00%,8219737.33
"Specializes in IT consulting, IT support, application development, management consulting and a variety of financial management and consulting services for the federal government.",Out,Out,Government Services,Mathstrip,2011,4788684.12,356.00%,10236594.08
Provides technological performance monitoring through data collection to companies across the globe.,In,Out,Software,Vilait,2011,3250699.99,488.00%,5691853.1
"A social media, PR and display marketing agency that uses highly-focused, data-driven demographic targeting and aggressive conversion techniques for clients ranging from iconic multinationals to start-ups.",In,Out,Advertising & Marketing,Dandrill,2002,3110144.02,391.00%,9834142.74
"Distributes exercise products for the athletic and health industries. Its self-massage and myofascial compression techniques help users manage pain, unlock energy and enhance workouts.",In,Out,Health,Konkin,2000,753444.07,401.00%,8397676.54
"Delivers Microsoft Dynamics customer relationship management services through support, education, and add-ons.",Out,Out,IT Services,Unoline,2011,5624599.99,203.00%,11086523.65
"A general practice law firm that offers a focus in real estate, automobile accidents, personal injury, business formation and corporate law, criminal defense, domestic issues and family law, wills/estate planning and probate law, general civil law, civil litigation, and creditors' rights.",In,In,Consumer Products & Services,Indihow,2011,3451948.85,563.00%,8189501.89
"Provides assessment and treatment for substance abuse, addiction, mental health, eating disorders, and dual diagnosis. Treatment includes psychotherapy, art and music therapy, equine therapy, and life skills and mindfulness techniques.",In,Out,Health,Truesaokix,2010,3705847,550.00%,12507073.7
"Provides cyber security, engineering, and managed services to government agencies and to companies in financial services, food and beverage, and law.",In,Out,IT Services,Lamlax,2010,3263194.01,418.00%,10016294.53
"Performs Web, mobile, and enterprise application development, using Ruby on Rails, Java, Android, iOS, and other technologies.",Out,Out,Software,Saotaxon,2000,5383015.17,414.00%,8440576.08
"Manufactures and wholesales custom audio/video products and accessories, serving the custom electronics and installation industry on a direct-to-dealer platform.",Out,Out,Manufacturing,Dentoing,2004,5645413.12,272.00%,11595134.86
"A general contractor that performs engineering, fine grading and concrete work.",In,Out,Construction,Sanzatrax,2012,4489462.66,502.00%,6219994.59
"Develops more than 500 mobile dictionaries running on any available mobile platform, and makes OfficeSuite, a product that creates, views, edits, and saves Word, Excel, PowerPoint, and other documents.",Out,Out,Software,Geoelectronics,2010,7693562.95,435.00%,10684182.94
"Provides an all-in-one cloud-based internal management, sales and service marketing platform for auto dealer groups and individual auto dealerships.",In,Out,Software,Konktouch,2012,4434900.58,416.00%,5720259.49
"Specializes in foreign exchange trading technology, software, support, transaction processing services and liquidity access for institutional FX market participants.",In,Out,Financial Services,Trans-Dexon,2003,3498324.6,519.00%,9447285.37
"A professional services firm that provides clients with focused business attention and resource bandwidth, offering best-fit resources in project management, change management and business analysis.",Out,Out,Business Products & Services,Indigolane,2010,6999550.84,457.00%,7165091.69
"Provides a comprehensive lead serivce package to clients that enhances their revenue potential and market position. It has developed a proprietary platform called LeadJetTM that provides the ability to quickly build, manage and improve the performance of campaigns across multiple media types.",In,Out,Advertising & Marketing,Fintax,2000,4132038.57,341.00%,6527992.92
Brews craft beers that have garnered awards at the Great American Beer Festival and the enthusiasm of a growing local fan-base.,In,Out,Food & Beverage,Overlane,2014,4151686.59,360.00%,7200054.86
"Provides nonprofits, private sector businesses and government with advanced technological services to help them run more effectively.",In,Out,IT Services,Zimholding,2002,405045.39,358.00%,8905706.11
Provides business intelligence and data warehousing as well as IT staffing and consulting services.,In,Out,IT Services,Scot-Lex,2013,4097491.03,445.00%,7975995.59
Provides medical insurance for pets.,Out,Out,Health,Lexitrans,2012,6653817.61,554.00%,9152250.62
An IT contracting firm serving large national companies with contractors in 25 states. Its business is based almost solely on referrals.,In,Out,IT Services,Phystouch,2011,847469.77,336.00%,9530024.96
"Specializes in underwriting commercial, auto and unique property and casualty lines.",In,Out,Insurance,Trestouch,2012,2267715.09,357.00%,10512432.65
"Specializes in offset and digital printing, design and fulfillment services.",Out,Out,Business Products & Services,Silicontrans,2011,7564828.44,289.00%,8006959.15
"Provides IT strategy consulting, infrastructure services, application services, and operations and support to commercial and government clients.",In,Out,IT Services,K-Job,2013,3517339.72,485.00%,7008968.73
"Specializes in online marketing with a wide range of services including analytics, eCommerce and landing page optimization.",Out,Out,Advertising & Marketing,Santechno,2010,4917053.59,324.00%,9604261.32
"Provides software services in cross-platform optimization & collaboration, advanced data analytics & visualization and large data handling for the US Government and Fortune 500 companies.",In,Out,Software,Vilamedia,2011,3454719.15,362.00%,8605926.1
"A Joint Commission-accredited national healthcare provider, specializing in community-based care and transitioning patients from hospital to home.",Out,Out,Health,Bignamjob,2013,5705074.53,408.00%,8326486.29
"Imports and distributes 1,200 wines to about 3,500 retailers and restaurants.",In,Out,Food & Beverage,Transcon,2013,4198561.97,537.00%,7442320.73
"Supports the Departments of Defense and Homeland Security with services in language translation, operations program management and training for projects in counter-terrorism, intelligence and logistics.",In,Out,Government Services,Kayplus,2010,4611400.34,417.00%,10855879.42
"Fuses creative and technical expertise in mobile application development, Web development and social media to build custom software. It leverages hardware disruption, content management systems, education technology, augmented reality, gamification and user-centric design.",In,Out,Software,Hottom,2011,2093538.23,284.00%,10381783.62
"Provides Salesforce professional services, tech support, business process improvement consulting and productivity apps for Salesforce on the AppExchange.",Out,Out,Software,Voltech,2009,5213751.21,374.00%,11211911.01
"Builds data centers, retail and office spaces, industrial and light manufacturing facilities, and warehouse and distribution centers.",Out,Out,Construction,Lamdombase,2012,5595183.13,474.00%,11428456.58
"Develops big data technology that integrates with promotional calendars, staffing systems, and weather services to helps retailers and manufacturers collect, analyze, and visualize in-store data and see how internal and external factors affect customers' shopping patterns.",In,In,Software,Zathtechi,2003,2286091.68,586.00%,7187774.8
"A national distributor of generic prescription pharmaceuticals and over-the-counter products to independent, mail order and other types of pharmacies.",In,Out,Health,Sunsaolax,2013,3835472.97,443.00%,7151103.07
"A professional staffing and career development firm that specializes in locating talent that is specifically seeking high-quality, flexible work options.",In,Out,Human Resources,Zapdex,2009,4259167,447.00%,9055024.75
"Manages an Internet-based contractor trade group for professionals in the electrical, solar installation, HVAC and plumbing industries.",In,Out,Business Products & Services,Indigocon,2010,2306246.44,360.00%,8538212.21
"A service-disabled, veteran-owned business that provides training, technology development, acquisitions, testing and logistics services to the DoD and other government agencies.",In,Out,Government Services,Zamfax,2012,320669.26,352.00%,9886455.3
"Offers full-time, contract and contract-to-hire technical and professional staffing services throughout the United States.",Out,Out,Engineering,Tanholdings,2011,5309355.46,430.00%,8156872.59
"Provides banks, credit unions and financial service providers with analytics software that improves profitability and product innovation.",Out,Out,Software,Zer-Plus,2008,7240163.82,305.00%,6848689.72
Develops medical implants and instruments used in spinal fusion treatments.,In,Out,Health,Hexzoomity,2013,3863890.17,398.00%,10319636.48
"Develops software for the management of industrial equipment that enables the machines to indicate when they need assistance, thus preventing disruption, loss, safety problems, or environmental incidents.",Out,Out,Software,Vilahouse,2011,7543897.28,247.00%,8662252.52
"A family-owned and operated electrical contracting company that serves the residential, commercial, and industrial markets.",Out,Out,Construction,Lamcare,1999,5232913.04,447.00%,7547716.18
"Paints apartments, high rises, shopping centers, and single-family homes, serving property managers, owners, and homeowners associations.",Out,Out,Construction,Keytouch,2013,5649633,129.00%,8597264.26
"Provides comprehensive bandwidth infrastructure services to wireline and wireless customers, data centers, Internet content providers, high-bandwidth enterprises, and government agencies across its 77,000 route mile network.",Out,Out,Telecommunications,Solotechi,2010,5252533.4,403.00%,7660262.19
"Provides supply chain design software that helps organizations worldwide design and improve their supply chain operations. Its software tools enable customers to model, optimize and simulate their supply chain operations, leading to major improvements in cost, service, sustainability and risk mitigation.",In,Out,Software,Kincon,2009,2973756.96,486.00%,13239281.71
"Specializes in custom, interactive website design and development.",Out,Out,IT Services,Tancode,2014,5204073.7,421.00%,10506061.01
"Provides marketing and student enrollment services to educational institutions, earning a percentage of tuition revenue it generates.",Out,Out,Education,Zumlam,2003,2818486.48,472.00%,4657494.42
"Provides IT, project management, and business transformation services to corporate and public sector clients.",In,Out,IT Services,Dripcane,2010,2153034.84,455.00%,12431007.13
"An educational management company that manages four college preparatory high schools in Michigan that emphasize high academic expectations, parental involvement and a culture of personal responsibility and moral conduct for students.",In,Out,Education,Temptechno,2013,4591340.13,450.00%,9636801.34
Develops data protection and backup software for enterprise-level customers. Its products offer multi-destination and cross-platform backup onsite and offsite.,Out,Out,Software,Zimtechno,2006,6773400.22,439.00%,14268611.31
Provides software and consulting services to manufacturing and distribution companies.,Out,Out,Software,Fax-Street,2011,6175332.45,414.00%,5436616.07
"Offers customized and comprehensive live and interactive online training services for the learning and professional development market. InSync provides a combination of specialized instructional design, facilitation techniques, and content development to create training courses for the development of synchronous and blended virtual classrooms.",In,Out,Education,Lambetech,2006,1321627.68,337.00%,11150780.95
"Provides non-asset-based transportation services including full truckload, vendor management and project management services.",Out,Out,Logistics & Transportation,Groovetrans,2010,5146353.03,342.00%,5882233.35
"Provides telecom management consulting and IT for businesses, including voice, data and security services.",Out,Out,Telecommunications,Freefase,2009,4686876.44,435.00%,11917472.96
Makes and sells bikes that have an electric built-in motor and are sold through 40 stores.,In,Out,Consumer Products & Services,Domtexon,2014,4483508.37,269.00%,11117455.44
A product development company that utilizes advanced technologies such as 3D printing and additive manufacturing.,In,Out,Manufacturing,Wareplanet,2007,4159307.14,238.00%,10344137.54
"A software design and development company that builds comprehensive, custom services for mobile and web use.",In,Out,Software,Scotstrip,2013,125634.96,262.00%,10120892.13
"Offers architecture and engineering consulting services, planning, renovating and designing buildings for government, healthcare, research and technology clients.",Out,Out,Engineering,Inchfind,2012,6355052.31,433.00%,10925194.47
,Out,Out,Security,Planetholdings,2012,7700336.58,260.00%,6449228.02
Provides DMS integration and data enhancement services for the automotive industry.,In,Out,Software,Bigfan,2005,3093396.74,542.00%,10386159.32
"A full-service marketing firm that offers packaging design, social media campaigns, custom applications, and search engine ranking for diverse companies.",In,Out,Advertising & Marketing,Tampqvotex,2013,4240627.44,342.00%,9536891.5
Provides budget VoIP services and software for residential and business users.,In,Out,IT Services,Kayis,2002,1232980.33,545.00%,9264749.63
"A professional services company that provides IT, PMO and financial services to both the public and private sector.",In,In,IT Services,Drilllane,2011,1367678.29,558.00%,10240157.7
"A medication management and patient support services company that assists with healthcare needs for chronically ill patients. It offers a variety of services such as medication management, packaging & delivery, transitional care and patient outreach.",Out,Out,Health,Randrill,2010,5802234.81,496.00%,8239229.47
"Provides quality engineering, IT and business support professionals to organizations of all sizes and industries across the United States.",Out,Out,Business Products & Services,Konkex,2011,5850781.33,346.00%,8634426.9
"Provides hosted and managed voice, unified communications, contact center, and video communication services.",Out,Out,IT Services,Techhigh,2011,5999660.49,335.00%,9681671.41
"A civil engineering and land-use planning firm specializing in residential, commercial, mixed-use and public works projects.",In,Out,Engineering,Zonunocom,2010,3275588.18,266.00%,11006002.33
"Provides IT consulting and outsourcing, application design and development, and graphic design and flash animation, and builds corporate portals.",Out,Out,IT Services,Saltstreet,2012,6235328.25,515.00%,9219294.49
"A restaurant specializing in Chicago-style deep-dish pizza, offering a wide range of fresh toppings and two types of dough, with several locations in the Bay Area of California.",In,Out,Food & Beverage,Viatechno,2009,1296576.54,250.00%,7575220.86
A digital and traditional marketing and advertising agency serving the automotive industry nationwide.,Out,Out,Advertising & Marketing,Quocan,2004,5613470.49,367.00%,7835460.38
"Supports independent insurance agents with technology tools and training for the sale of products for the senior segment such as Medicare Supplement, Medicare Advantage and Medicare Part D. It also provides third-party administrative services to insurance companies, including agent recruiting, application processing and lead management.",In,Out,Insurance,Acetrans,2011,3491485.05,535.00%,7277510.97
"Provides RFID and barcode hardware and software as well as related services, including mobile device management, staging and deployment and wireless site surveys.",Out,Out,Business Products & Services,Sonredtam,2010,9330201.92,501.00%,8016384.99
"Provides business and technical consulting and training, staffing, and IT services to the military, government, businesses, and nonprofits.",Out,Out,Government Services,Greenfan,2013,5751231.64,501.00%,10228293.53
Provides residential solar products and services to help homeowners conserve energy.,Out,Out,Energy,Sub-Green,2010,5574406.07,178.00%,9382123.75
"A staffing firm that places workers in IT, accounting and finance, marketing, and administrative jobs.",In,In,Human Resources,Matelectronics,2010,3205936.14,776.00%,12683504.31
"A junk removal and moving franchisor. Each location provides junk removal, full-service moving, labor services, temporary storage and more.",Out,Out,Consumer Products & Services,X-Care,2012,1270279.93,410.00%,4454455.08
"Offers integrated facility services, electrical design and construction, program and administrative support, and security services to federal government and commercial clients.",In,Out,Government Services,Joblab,2012,2436059.69,552.00%,10216791.86
"A national financial services company that serves high net worth and institutional clients. It is fully-capitalized by institutional investors and senior financial services executives who have no interest or involvement with its product selection or research, which eliminates conflicts of interest.",In,Out,Financial Services,Zenzootrax,2010,4466041.96,530.00%,7837544.5
"A supply chain consulting and IT services firm that offers general business strategies designed to improve customer service, reduce waste, maximize efficiency and increase profits.",Out,Out,Logistics & Transportation,Fungreen,2013,6223771.75,531.00%,7892566.43
"Provides sales, marketing and ERP consultants to a variety of businesses across the United States.",In,In,Human Resources,Goldenware,2014,2344939.49,617.00%,8557192.85
Specializes in providing cloud-based security products used by organizations for enterprise-wide identity access and credentialing.,Out,Out,Security,Hotis,2012,5770554.05,537.00%,9262832.21
"A strategy and design consulting firm that specializes in complex change management. Its services include strategic planning, change implementation and leadership training.",In,In,Business Products & Services,Damelectrics,2012,3828134.4,578.00%,11710705.71
"Provides landscaping development, maintenance, enhancement and water management services for commercial and residential customers in Arizona and Nevada.",In,Out,Environmental Services,Cancone,2010,4286747.16,351.00%,10411904.41
"Executes transportation moves from one pallet to full truckloads, using both trucking companies and rail providers.",Out,Out,Logistics & Transportation,Nimcare,2012,5005625.24,465.00%,8591445.24
"Provides managed services, software development and strategy services to small and midsize businesses, with a focus on Google services such as Google Apps, Google Cloud Platform and Google Enterprise Search services.",Out,Out,IT Services,Ittech,2013,6544488.29,502.00%,6133738.74
A global freight forwarding and services network that provides freight management services and data transportation services on a global scale.,Out,In,Logistics & Transportation,Zun-Ex,2013,6222750.14,622.00%,13535564.29
"A ervice solar energy provider that offers complete in-house system design, engineering, construction, financing and customized project development.",In,Out,Energy,Techis,2012,2248352.74,432.00%,10013930.61
"A click and mortar retailer of organic mattresses and bedding, sustainable bedroom furniture and air purification systems. It has seven showrooms across the country as well as an online store.",Out,Out,Retail,Volzoom,2006,5081915.86,256.00%,10218546.91
"Facilitates electronic payments for the property management industry, specifically for multifamily, single family, Homeowners Association and commercial markets.",In,Out,Financial Services,Saofintone,2009,2841578.78,449.00%,9559177.44
Sells cosmetic products and provides hair and makeup tutorials through its website.,Out,In,Retail,Indigoit,2011,5349385.32,656.00%,11942060.72
Develops software to eliminate manual processes and improve operational efficiency for nonprofit organizations.,Out,Out,Software,K-Tone,2013,4884583.77,555.00%,9593897.75
"A performance-based online advertising company that specializes in customer acquisition through all forms of digital traffic, from Web to mobile, with a concentration on incentive and content locking traffic.",Out,Out,Advertising & Marketing,Codelane,2009,5440401.93,422.00%,10923981.39
"A full-service mobile application and custom software consulting firm that serves Fortune 1,000 companies.",In,Out,Software,Triotexon,2011,1298258.06,463.00%,10339798.45
A residential property management and real estate investment firm that manages thousands of residential rental properties throughout the Southeast and helps investors purchase residential properties and turn them into long-term rentals.,In,Out,Real Estate,Streettaxon,2009,1096684.27,465.00%,11817252.46
Generates qualified online customers for advertisers using proprietary quantitative analysis methods and advanced testing technologies.,In,Out,Consumer Products & Services,Dongreen,2013,2918250.62,483.00%,9919199.63
Collaborates with startups to build and scale their ideas. Clients include two Inc 500 winners: Nextlot and Reverb Nation.,Out,Out,IT Services,Rehoting,2014,5455657.43,365.00%,8090625.43
"Provides single-family rental real estate investment services, property management and tenant relation services to clients worldwide who are looking to build their residential real estate investment portfolios.",In,Out,Real Estate,Indiin,2011,1259826.39,453.00%,11870344.08
Provides text messages and phone call services to businesses looking to enhance their software and website offerings. CDYNE offers communication as well as data quality APIs.,Out,In,Software,Kanlux,2000,4854786.76,568.00%,10868248.98
"Offers high-speed broadband, video products, voice services, alarm monitoring, home automation, access control, and business voice and data services.",In,Out,Telecommunications,Fase-Bam,2010,2146254.75,339.00%,10574342.05
"Offers design-build, construction management and general contracting for medical, government and hospitality projects as well as for religious institutions.",Out,Out,Construction,Silit,2007,7777972.22,362.00%,10692410.67
"Provides staffing, infrastructure and other IT services to Fortune 5000 companies.",In,Out,IT Services,Fixlatcare,2014,634360.3,396.00%,9349818.41
"Provides technical services to the Department of Defense, intelligence communities and other government clients.",In,Out,Government Services,Zummalux,2011,3113479.41,447.00%,10729022.07
"Develops cloud-based enterprise payroll, timekeeping, and HR-related technology products distributed through more than 170 licensed Apex cloud-based outsourcers.",In,Out,Software,Medbase,2013,4473383.05,298.00%,9695169.13
"Makes handmade hard candies, caramels and chocolates in three factories in Virginia.",In,Out,Food & Beverage,Zimtech,2010,3853781.18,449.00%,9687894.11
Develops a software platform that enables companies to interact via live chat with their website shoppers.,In,Out,Software,Xx-Bam,2009,2327339.04,441.00%,15229411.03
"An online marketplace for students and teachers. TakeLessons offers integrated scheduling, payment and communication tools for private instructors that work seamlessly across desktop and mobile devices.",Out,Out,Software,Jayphase,2014,4938867.36,318.00%,6892054.05
"Designs, develops, and implements cloud-based supply chain software for warehouses and distribution centers.",Out,Out,Software,J-Unafase,2014,5071218.99,347.00%,2835717.46
"An irrigation and drainage, roofing and construction and seamless guttering company that manages 50 rentals and flips houses as well as performs building maintenance for property management companies.",Out,Out,Construction,Singlefind,2014,4944683.58,394.00%,11725678.58
"Provides IT consulting services specifically around systems applications and products, lean and agile development and program and organizational change management.",Out,Out,IT Services,Icephase,2010,6105205.25,198.00%,8098200.9
A residential real estate sales company that aims to simplify home buying and selling by offering all services within the entire moving process.,In,Out,Real Estate,U-Holdings,2003,2528980.66,270.00%,9810312.23
"Sells reverse osmosis/deionization water filtration systems, aquarium supplements and a single food source system for saltwater aquariums.",Out,Out,Retail,Lalane,2003,4934351.26,472.00%,10461526.04
"A digital marketer that helps automotive dealers, dealership groups and manufacturers increase website traffic and customer engagement.",Out,Out,Advertising & Marketing,Vol-Con,2012,5950026.26,394.00%,10562148.67
"Uses customized resource acquisition models to provide IT consultants in ERP, project management and software development. It also owns Think IT Association, a professional association for IT professionals.",In,Out,IT Services,Linetax,2013,2907698.25,425.00%,10091430.82
"Mines extreme volumes of data to help clients in financial services, health care, and commercial markets make predictions about products, markets, customers, and human behavior.",In,Out,IT Services,Hotlax,2010,2599091.33,466.00%,6473628.19
"Engineers and packages artificial lift controls and automation technology that increases oil and gas production, lowers lifting costs, and saves energy.",Out,Out,Energy,Zot-Lam,2013,5281745.46,417.00%,7491025.92
"Provides TV, Internet and voice services to multi-family dwellings, including condos, retirement communities and student housing.",In,Out,Telecommunications,Villatouch,2010,4271887.07,401.00%,8010737.02
"An online lead generation company and technology platform that connects consumers shopping online for insurance to insurance agents, brokers and insurance carriers.",Out,Out,Advertising & Marketing,O-Zimron,2011,7535865.16,530.00%,7939309.46
Direct to consumer performance marketing company that operates national call centers to sell insurance products.,In,Out,Insurance,Goldenin,2011,2710319.82,284.00%,8542417.32
"Provides information technology consulting, custom software products and staffing services to the public and private sector in industries including education, health care, quality assurance, finance and wireless security.",In,Out,IT Services,E-Tex,2003,3974720.82,387.00%,11295163.22
Provides pre-programmed networking services for residential customers. It offers customized integrators and networking services for automated residences.,In,Out,IT Services,Hexdom,2012,4126153.78,225.00%,5724413.05
"Provides transformational technology services in the fields of systems engineering, project/acquisition management, logistics and testing.",In,Out,Engineering,Cardinalsmacked,2002,544542.46,528.00%,10246854.12
"Offers outsourced medical coding and billing services specifically designed for mental health, co-occurring disorders, and substance abuse treatment.",Out,Out,Health,Acclaimedcirl,2014,4177190.6,253.00%,4484094.87
"Consults on virtual enterprise with disciplines in enterprise optimization, storage and business continuity.",In,In,IT Services,Frayedintrigue,2014,1435102.62,574.00%,7846678.25
"Provides experienced professionals on a flexible basis to help companies solve problems and fill expertise and resource gaps, including executing special projects, performing interim executive roles and mentoring up-and-coming talent.",Out,Out,Human Resources,Sanguineprove,2013,7254053.94,463.00%,8841807.84
"A technology firm focused on the deployment and support of highly-secure commercial, medical & industrial control systems, global content distribution networks and natural user interface advancements.",In,Out,IT Services,Nakedshrapnel,2014,3879436.06,406.00%,11916827.93
"A staffing agency for IT, accounting, finance, HR, legal, administrative, oil and gas, and medical front office employment.",In,Out,Human Resources,Crohnpurchasing,2009,3020880.29,477.00%,7783325.94
Provides sinkhole repair and construction services for homes and businesses.,Out,Out,Construction,Countslovenly,2010,8213904.83,525.00%,8380366.97
"Provides a wide range of technology products and services, including virtualization, managed services, network security, data center consolidation, hosted and managed services, and software development.",In,Out,IT Services,Judgemicrosoft,2012,3724605.4,546.00%,11093093.77
A physical therapy practice with seven locations in New Jersey.,In,Out,Health,Reinforceputtock,2002,2263511.88,327.00%,5890468.14
"Provides website design and Internet marketing services to auto repair shops, collision shops and transmission shops.",Out,Out,Advertising & Marketing,Purchasecrouton,2010,4704083.35,465.00%,10894633.41
"Provides cloud software services for business applications, including integrated performance visibility into the application code and pinpointing of performance bottlenecks.",Out,Out,Business Products & Services,Anodisingcrimp,2011,7634479.6,347.00%,5793625.78
"A staffing agency that recruits for digital, Web and creative positions in start-up and emerging technology products and services companies.",In,Out,Human Resources,Geometrygene,2010,4422822.5,232.00%,11360700.01
"Specializes in software development, data architecture, business intelligence, mobile computer, and service oriented architecture implementation for federal and commercial clients.",In,Out,IT Services,Pursuitsskewer,2001,887657.74,275.00%,8731776.22
Makes anti-aging skin care products incorporating the use of peptides that work on a cellular level to increase hydration.,Out,Out,Consumer Products & Services,Willinghungarian,2011,6483169.6,471.00%,8246052.46
A residential mortgage broker with two locations in Texas.,In,Out,Financial Services,Geigerbeneficial,2013,3499829.62,228.00%,10470308.71
"Assists government agencies, corporations and nonprofits with human capital consulting, process improvements, financial management, program management and technical assistance services.",In,Out,Government Services,Relishtreasure,2010,432738.33,461.00%,9959048.77
A data management company that delivers software and services to large enterprise customers who want to improve business performance through data discipline.,In,Out,IT Services,Forearmblade,2010,3279305.63,290.00%,10768817.72
"Makes and sell artisanal, preservative-free bread to restaurants and other commercial customers.",In,Out,Food & Beverage,Rmsvivid,2010,1207465.59,445.00%,8011063.23
"A boutique consulting firm focusing on project execution and providing expertise in financial regulatory issues for investment banks, hedge funds, asset managers, and financial services firms.",In,Out,Financial Services,Nervousdispatcher,2011,629477.05,472.00%,4955439.13
"Creates holistic marketing platforms for clients to help them execute campaigns easily and quantify their ROI. Platforms include content management systems, data analytics and creative services.",Out,Out,Advertising & Marketing,Ribpunish,2001,5624903.29,385.00%,9489161.34
"Specializes in helping businesses and communities get applications online through cloud, hosting, VPN, and IP transit services.",In,Out,IT Services,Deliciousgeometry,2010,2661258.23,344.00%,11864251.18
Designs and manufactures custom plastic components.,Out,Out,Manufacturing,Happinesspineapple,2010,6568198.95,496.00%,11682563.39
"A residential and commercial real estate brokerage firm that provides education, coaching and tools to its associates.",In,Out,Real Estate,Consistapplies,2010,2441616.83,291.00%,8662983.61
"A recruiting organization specializing in meeting the full range of needs for physicians, in-house recruiters and those in the healthcare industry needing assistance with physician recruiting and retention.",In,Out,Health,Dowdyweanling,2014,2374601.88,274.00%,10893126.12
An insurance coverage provider that is associated with the National Real Estate Insurance Group and provides coverage for residential real estate investors.,Out,Out,Real Estate,Monitoringhaflinger,2013,7603731.58,393.00%,7322285.76
"A boutique search and consulting firm that offers both direct hire and contract placement of finance, accounting and IT professionals in Houston.",In,Out,Business Products & Services,Bouquetvolt,2000,3667653.41,206.00%,7736128.98
Provides education websites and software that can be integrated via a single platform.,In,Out,Education,Thamesringed,2014,4214179.27,488.00%,8596884.58
"Specializes in helping companies upgrade, install, and support the database software program PeopleSoft from Oracle.",Out,Out,IT Services,Abstractedchocolat,2009,4960266.46,222.00%,7079562.18
A business analytics strategy and implementation company dedicated to helping organizations improve their agility to make intelligent decisions that create value.,In,Out,IT Services,Wiggakintail,2010,3796676.04,276.00%,8713642.19
"Provides advanced IT consulting, design and managed services, including data storage management, virtualization and disaster recovery.",Out,Out,IT Services,Machinewarn,2009,6091554.98,436.00%,11548371.35
Operates a pest-control franchise that specializes in eliminating mosquitoes and ticks using a specially formulated spray.,Out,Out,Consumer Products & Services,Berserkfluther,2012,6334621.07,482.00%,11076186.96
"A recruiting vendor for national technology firms as well as medium-sized businesses and emerging startups. Crawford Thomas Recruiting services Fortune 1000 and Inc 5000 companies in the areas of finance, IT and life sciences.",Out,Out,Human Resources,Nohitterright,2010,5085849.67,356.00%,9910196.64
"Helps businesses improve their ROI with pay-per-click management, search engine optimization and social media services. It also creates, manages and optimizes websites and lead generation campaigns.",In,Out,Advertising & Marketing,Tragicultra,2007,3593982.34,478.00%,9681921.1
"Provides support to a number of Department of Defense organizations ranging from combatant commands to operational units. The company supports military service staffs, training activities, technical laboratories, government agencies and commercial customers with subject matter experts across a number of mission areas.",In,Out,Government Services,Coatforked,2012,243956.08,363.00%,10626672.11
"An IT consulting services organization with project experience in software technologies such as Java, Oracle and SAP. It develops IT services for the banking, pharmaceutical and government sectors in Web-enabled, RDBMS and ERP environments.",In,Out,IT Services,Loveboyle,2012,3814136.67,178.00%,9552888.52
"Digitizes photos, slides and film for consumers. Customers place their orders online then ship their materials to ScanDigital through its partnership with UPS.",In,In,Consumer Products & Services,Recognisedwimp,2012,3047195.76,672.00%,12988345.12
"A full service communications provider, specializing in SIP, VM and MPLS deployments. It also integrates low voltage wiring, surveillance and monitoring systems for clients in various businesses.",In,Out,Telecommunications,Mustermilk,2011,1545810.77,407.00%,7635520.77
"Manufactures and sells stainless steel outdoor gas grills, drawers and components.",Out,Out,Consumer Products & Services,Urethrawell,2010,7470553.77,423.00%,9885102.55
"Provides engineering, IT and training services to NASA, the DoD and the DHS.",In,Out,Government Services,Admonishbadelynge,2010,3117953.09,485.00%,9528494.75
"Operates three divisions: Press Pass Collectibles sells autographed memorabilia from sports stars and other celebrities. Charity Benefits Unlimited assists charities, nonprofits and schools with their fundraising efforts through silent auctions. Iconic Auctions sells high-end investment-grade sports and celebrity memorabilia in monthly catalogue and internet auctions.",In,Out,Retail,Siftercockamamie,2014,2498398.43,382.00%,12691389.3
